"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"52",="2801","彰銀","市","06/02","18.05","-0.1","-0.55","10","1,049","1,049","1,893","71.9","60.3","有","有","有","","","","銀行業","凌忠嫄","周朝崇"
"53",="2618","長榮航","市","06/02","35.5","+1.3","+3.8","10","529","528.7","1,877","33.2","22.6","有","","有","有","","","航運業","林寶水","孫嘉明"
"54",="4938","和碩","市","06/02","68.9","-0.3","-0.43","10","267","266.8","1,839","14.9","11.9","有","","有","有","","","電腦及週邊設備業","童子賢","廖賜政"
"55",="2409","友達","市","06/02","17.7","+0.1","+0.57","10","962","962.4","1,703","25.8","21.7","有","有","有","","","","光電業","彭又又浪","柯富仁"
"56",="9910","豐泰","市","06/02","191.5","+3","+1.59","10","88.2","88.17","1,688","50.9","30.3","","","","","","","其他業","王建弘","陳昭吉"
"57",="5347","世界","櫃","06/02","101","-2.5","-2.42","10","164","163.9","1,655","27.5","24.2","有","","有","","","","半導體業","方略","方略"
"58",="1402","遠東新","市","06/02","30.7","-0.1","-0.32","10","535","535.3","1,643","68.4","55.1","有","有","有","有","","","紡織纖維","徐旭東","吳高山,鄭澄宇"
"59",="2610","華航","市","06/02","27.4","+0.45","+1.67","10","594","599.4","1,642","62.7","29.3","","","有","有","","","航運業","謝世謙","高星潢"
"60",="9945","潤泰新","市","06/02","76.2","+0.1","+0.13","10","211","210.7","1,605","44.7","30.1","有","","有","","","","其他業","簡滄圳","李志宏"
"61",="1605","華新","市","06/02","46.7","-1.8","-3.71","10","343","343.1","1,602","55.5","49.6","有","有","有","","","","電器電纜","焦佑倫","潘文虎"
"62",="2633","台灣高鐵","市","06/02","28.15","+0.35","+1.26","10","563","562.8","1,584","24.1","5.6","有","","有","","有","","航運業","江耀宗","鄭光遠"
"63",="1102","亞泥","市","06/02","44.4","-0.4","-0.89","10","355","354.6","1,574","65.2","60","有","","有","有","","","水泥工業","徐旭東","李坤炎"
"64",="6669","緯穎","市","06/02","871","-13","-1.47","10","17.5","17.48","1,523","10.3","3.2","有","","有","有","","","電腦及週邊設備業","林憲銘","洪麗(宓冉)"
"65",="3481","群創","市","06/02","14.2","-0.05","-0.35","10","1,056","1,047","1,487","19.4","15.6","有","有","有","","","","光電業","洪進揚","楊柱祥"
"66",="2301","光寶科","市","06/02","62.9","-0.6","-0.94","10","235","235.1","1,479","33.2","26.5","有","","有","","","","電腦及週邊設備業","宋明峰","邱森彬"
"67",="2888","新光金","市","06/02","9.15","-0.06","-0.65","10","1,578","1,549","1,417","20.3","20.3","有","","有","有","","有","金控業","許澎","吳欣儒"
"68",="8454","富邦媒","市","06/02","769","-21","-2.66","10","18.2","18.21","1,400","17.7","7.5","","","有","","","","貿易百貨業","林啟峰","谷元宏"
"69",="1476","儒鴻","市","06/02","494.5","+1","+0.2","10","27.4","27.44","1,357","44.5","21.1","有","","有","","","","紡織纖維","洪鎮海","蔡俊嶔/陳坤鎕"
"70",="2345","智邦","市","06/02","226","+0.5","+0.22","10","56","56","1,266","34.3","26.6","有","","有","有","","","通信網路業","寬鑫投資(股)公司","馬思睿"
"71",="0056","元大高股息","市","06/02","31.4","-0.12","-0.38","","","403","1,266","","14.4","有","","有","","","","N/A","",""
"72",="2474","可成","市","06/02","171","+0.5","+0.29","10","73","72.98","1,248","37.5","20.7","有","有","有","","","","其他電子業","洪水樹","洪天賜"
"73",="6409","旭隼","市","06/02","1425","+5","+0.35","10","8.72","8.72","1,243","14.1","8.2","","","有","","","","其他電子業","謝卓明","謝卓明"
"74",="4966","譜瑞-KY","櫃","06/02","1505","-25","-1.63","10","8.12","8.12","1,222","16.6","10.7","","","有","","","","半導體業","趙捷","曲明"
"75",="3529","力旺","櫃","06/02","1550","-30","-1.9","10","7.61","7.61","1,180","21.8","11.4","有","","有","","","","半導體業","徐清祥","何明洲"
"76",="2347","聯強","市","06/02","69.3","-0.7","-1","10","167","166.8","1,156","33.7","26.5","有","","有","","","","電子通路業","苗豐強","杜書伍"
"77",="2105","正新","市","06/02","35.5","+0.25","+0.71","10","324","324.1","1,151","52.5","34.5","有","","有","有","","","橡膠工業","陳榮華","陳榮華"
"78",="2344","華邦電","市","06/02","28.9","-0.05","-0.17","10","398","398","1,150","34.7","26.6","有","","有","","","","半導體業","焦佑鈞","陳沛銘"
"79",="2377","微星","市","06/02","132.5","-3.5","-2.57","10","84.5","84.49","1,119","35.8","23.6","有","有","有","","","","電腦及週邊設備業","徐祥","黃金請"
"80",="4958","臻鼎-KY","市","06/02","116","-3","-2.52","10","94.7","94.7","1,099","16","10.4","有","","有","有","","","電子零組件業","沈慶芳","李定轉"
"81",="6446","藥華藥","櫃","06/02","367.5","-2.5","-0.68","10","28.5","28.5","1,047","22.1","5.9","","","","","有","","生技醫療業","詹青柳","黃正谷"
"82",="3532","台勝科","市","06/02","265","+6","+2.32","10","38.8","38.78","1,028","26.5","14.5","有","","有","","","","半導體業","林健男","田中恵一"
"83",="2324","仁寶","市","06/02","23.1","+0.05","+0.22","10","441","440.7","1,018","38","30.3","有","有","有","","","","電腦及週邊設備業","許勝雄","翁宗斌"
"84",="5483","中美晶","櫃","06/02","170","+0.5","+0.29","10","58.6","58.62","997","41.4","21.3","有","","有","","","","半導體業","徐秀蘭","姚宕梁"
"85",="5269","祥碩","市","06/02","1385","+20","+1.47","10","6.92","6.92","959","18.2","9.5","有","","有","","","","半導體業","沈振來","林哲偉"
"86",="9921","巨大","市","06/02","255","0","0","10","37.5","37.51","956","49.6","27.4","","","","","","","其他業","杜(糸秀)珍","劉湧昌"
"87",="3702","大聯大","市","06/02","56.1","+0.7","+1.26","10","188","167.9","942","16.6","16.6","有","","有","","","有","電子通路業","黃偉祥","張蓉崗"
"88",="8464","億豐","市","06/02","321","-0.5","-0.16","10","29.3","29.3","941","14.9","6.5","","","","","","","其他業","粘耿豪","粘耿豪"
"89",="6781","AES-KY","市","06/02","1100","-45","-3.93","10","8.54","8.54","940","2.4","1.2","","","有","","","","電子零組件業","宋福祥","宋維哲"
"90",="3105","穩懋","櫃","06/02","221","-6","-2.64","10","42.4","42.4","937","22.6","10.5","有","","有","","","","半導體業","陳進財","陳國樺"
"91",="2834","臺企銀","市","06/02","12.1","0","0","10","774","774.3","937","71.7","24.4","有","","有","","有","","銀行業","林謙浩","張志堅"
"92",="9904","寶成","市","06/02","31.1","-0.15","-0.48","10","295","294.7","916","52.8","32.4","有","","有","","","","其他業","詹陸銘","盧金柱"
"93",="2356","英業達","市","06/02","25.5","-0.05","-0.2","10","359","358.8","915","47","25.6","有","","有","","","","電腦及週邊設備業","卓桐華","巫永財"
"94",="2353","宏碁","市","06/02","29.05","-0.05","-0.17","10","305","304.8","885","45.8","25.7","有","有","有","","","","電腦及週邊設備業","陳俊聖","陳俊聖"
"95",="2027","大成鋼","市","06/02","43.05","-0.45","-1.03","10","201","200.8","865","35.5","25.6","有","","有","","","","鋼鐵工業","謝麗雲","謝榮坤"
"96","00724B","群益10年IG金融債","櫃","06/02","34.96","-0.09","-0.26","","","244.6","855","","4.5","","","","","","","N/A","",""
"97",="2049","上銀","市","06/02","250","+2.5","+1.01","10","34.1","34.08","852","32.6","12.9","有","","有","","","","電機機械","卓文恒","蔡惠卿"
"98",="9941","裕融","市","06/02","219","0","0","10","48.2","38.21","837","32.1","22.5","","","","有","","有","其他業","嚴陳莉蓮","許國興"
"99",="3231","緯創","市","06/02","28.8","+0.2","+0.7","10","290","290.3","836","21","18.8","有","有","有","有","","","電腦及週邊設備業","林憲銘","林建勳/沈慶堯"
"100",="3533","嘉澤","市","06/02","776","+5","+0.65","10","10.6","10.6","822","35.8","14.5","有","","有","","","","電子零組件業","朱德祥","何德佑"
"101",="2371","大同","市","06/02","35","-0.45","-1.27","10","234","234","819","72.2","60.3","","","","有","","","電機機械","王光祥","鍾依文"
"102",="2354","鴻準","市","06/02","56.5","+0.5","+0.89","10","141","141.4","799","32.1","25.7","有","","有","","","","其他電子業","呂軍甫","陳務光"
"103",="5274","信驊","櫃","06/02","2305","+5","+0.22","10","3.44","3.44","792","17.6","9.1","有","","有","","","","半導體業","林鴻明","林鴻明"
"104",="1229","聯華","市","06/02","55.9","-1.6","-2.78","10","141","141","788","66.9","45.9","","","","","","","食品工業","苗豐強","林信宏"
"105",="8299","群聯","櫃","06/02","395","-5","-1.25","10","19.7","19.71","778","21.6","17.5","有","","有","","","","半導體業","顏暐駩","歐陽志光"
"106",="2637","慧洋-KY","市","06/02","103.5","+1.5","+1.47","10","74.6","74.64","773","13.6","11.5","","","有","有","","","航運業","藍俊昇","鄭俊聲"
"107",="9914","美利達","市","06/02","253.5","-3","-1.17","10","29.9","29.9","758","49.7","29.7","有","","有","","","","其他業","曾崧柱","曾崧柱"
"108",="2337","旺宏","市","06/02","40.75","+1.15","+2.9","10","186","185.6","756","32.5","27.2","有","","有","","有","","半導體業","吳敏求","盧志遠"
"109",="3189","景碩","市","06/02","167.5","+1.5","+0.9","10","45.1","45.08","755","21.7","17.6","有","","有","","","","半導體業","廖賜政","陳河旭"
"110",="6239","力成","市","06/02","98.7","+1","+1.02","10","75.9","75.91","749","25.1","19.2","有","","有","","","","半導體業","蔡篤恭","呂肇祥"
"111",="2383","台光電","市","06/02","225","-5","-2.17","10","33.3","33.29","749","30.2","25.4","有","","有","","","","電子零組件業","董定宇","關恩祥"
"112",="00878","國泰永續高股息","市","06/02","17.82","-0.08","-0.45","","","419.3","747","","1.9","","","","","","","N/A","",""
"113",="3443","創意","市","06/02","542","-17","-3.04","10","13.4","13.4","726","24.4","15.6","有","","有","","","","半導體業","曾繁城","戴尚義"
"114",="4919","新唐","市","06/02","173","+1.5","+0.87","10","42","41.98","726","14.2","11.7","","","有","","","","半導體業","蘇源茂","楊欣龍"
"115",="2542","興富發","市","06/02","46.1","-0.25","-0.54","10","146","156","719","42.4","23.1","有","","有","有","","","建材營造業","曹淵博","范華軍"
"116",="2227","裕日車","市","06/02","238","-2","-0.83","10","30","30","714","18.6","17.5","","","","","","","汽車工業","嚴陳莉蓮","蔡文榮"
"117",="4743","合一","櫃","06/02","181","-2.5","-1.36","10","38.8","38.81","702","14","10.7","","","","","","","生技醫療業","黃山內","鄭志慧"
"118",="2376","技嘉","市","06/02","110.5","-2","-1.78","10","63.6","63.57","702","36.1","23.7","有","","有","","","","電腦及週邊設備業","葉培城","李宜泰"
"119","00761B","國泰A級公司債","櫃","06/02","38.8","+0.16","+0.41","","","178.3","692","","3.5","","","","","","","N/A","",""
"120",="2360","致茂","市","06/02","163","-2","-1.21","10","42.2","42.25","689","37.6","25.5","有","","","","","","其他電子業","黃欽明","黃欽明"
"121",="3036","文曄","市","06/02","77.6","-0.6","-0.77","10","94.1","88.36","686","28.4","21.7","有","","有","","","有","電子通路業","鄭文宗","鄭文宗"
"122",="1722","台肥","市","06/02","69.3","-0.1","-0.14","10","98","98","679","76.1","24.2","有","","有","","","","化學工業","黃耀興","黃耀興"
"123",="1802","台玻","市","06/02","22.25","-0.1","-0.45","10","291","290.8","647","57.8","48.9","有","","有","","","","玻璃陶瓷","林伯豐","林伯實"
"124",="2385","群光","市","06/02","85.7","-0.3","-0.35","10","75.2","75.18","644","39.3","23.4","","","有","","","","電子零組件業","許崑泰","呂進宗"
"125",="1504","東元","市","06/02","29.9","-0.6","-1.97","10","214","213.9","640","66","48.6","有","","","有","","","電機機械","邱純枝","范炘"
"126",="2812","台中銀","市","06/02","13.9","0","0","10","454","453.8","631","68.8","38.1","","","有","","","","銀行業","王貴鋒","賈德威"
"127",="3661","世芯-KY","市","06/02","878","-46","-4.98","10","7.12","7.12","626","19.3","7.6","","","有","","","","半導體業","關建英","沈翔霖"
"128",="2915","潤泰全","市","06/02","84.4","-0.7","-0.82","10","73.4","73.43","620","46.4","44.9","有","有","有","","","","貿易百貨業","徐盛育","徐志漳"
"129",="3044","健鼎","市","06/02","116","+1","+0.87","10","52.6","52.56","610","30.5","21.5","有","","有","","","","電子零組件業","王景春","黃樂仁"
"130","00632R","元大台灣50反1","市","06/02","5.48","+0.03","+0.55","","","1,099","602","","7.6","","","有","","","","N/A","",""
"131","00773B","中信優先金融債","櫃","06/02","37.63","-0.01","-0.03","","","158.6","597","","3.3","","","","","","","N/A","",""
"132",="3023","信邦","市","06/02","253.5","-8","-3.06","10","23.5","23.52","596","32.5","21.1","","","有","","","","電子零組件業","王紹新","梁偉銘"
"133",="2313","華通","市","06/02","48.55","+0.15","+0.31","10","119","119.2","579","48.8","31.9","有","","有","","","","電子零組件業","江培琨","江培琨"
"134",="2492","華新科","市","06/02","118","+1.5","+1.29","10","48.6","48.58","573","51.9","24.5","有","","有","有","","","電子零組件業","焦佑衡","顧立荊"
"135",="2352","佳世達","市","06/02","29","-0.1","-0.34","10","197","196.7","570","38.1","25.9","有","","有","","","","電腦及週邊設備業","陳其宏","黃漢州"
"136","00772B","中信高評級公司債","櫃","06/02","37.31","+0.13","+0.35","","","151.9","567","","3.3","","","","","","","N/A","",""
"137",="3035","智原","市","06/02","226","-12","-5.04","10","24.9","24.86","562","29","22.6","有","","有","","","","半導體業","洪嘉聰","王國雍"
"138",="2449","京元電子","市","06/02","45.5","-0.3","-0.66","10","122","122.3","556","35","21.1","有","","有","","","","半導體業","李金恭","劉安炫"
"139","00751B","元大AAA至A公司債","櫃","06/02","37.42","+0.22","+0.59","","","147.1","550","","3.7","","","","","","","N/A","",""
"140",="6121","新普","櫃","06/02","297","-1.5","-0.5","10","18.5","18.5","549","30.1","20.5","有","","有","","","","電腦及週邊設備業","宋福祥","宋福祥"
"141","00746B","富邦A級公司債","櫃","06/02","37.8","+0.23","+0.61","","","142.2","538","","3.8","","","","","","","N/A","",""
"142",="6592","和潤企業","市","06/02","103","-1","-0.96","10","51.5","51.5","530","23","2.5","","","有","有","","","其他業","劉源森","林彥良"
"143",="3293","鈊象","櫃","06/02","751","-10","-1.31","10","7.05","7.05","529","32.6","15.9","有","","有","","","","文化創意業","李柯柱","江順成"
"144",="5522","遠雄","市","06/02","66.5","-0.1","-0.15","10","78.2","78.16","520","43.8","22.5","","","","有","","","建材營造業","趙文嘉","湯佳峰"
"145","2882A","國泰特","市","06/02","62.3","0","0","","","83.33","519","","5.4","","","","","","","金控業","",""
"146",="6147","頎邦","櫃","06/02","69.5","0","0","10","73.9","73.87","513","24.9","20.3","有","","有","","","","半導體業","吳非艱","高火文"
"147",="00881","國泰台灣5G+","市","06/02","15.8","-0.16","-1","","","319.1","504","","1.5","","","有","","","","N/A","",""
"148",="2606","裕民","市","06/02","59.3","-0.2","-0.34","10","84.5","84.51","501","53.8","31.5","有","","有","有","","","航運業","徐旭東","王書吉"
"149","00725B","國泰投資級公司債","櫃","06/02","37.17","+0.05","+0.13","","","132.9","494","","4.3","","","","","","","N/A","",""
"150",="6531","愛普*","市","06/02","303.5","-18","-5.6","5","8.07","16.19","491","10.8","6","","","有","","","","半導體業","陳文良","陳文良"
"151",="6176","瑞儀","市","06/02","105.5","-1","-0.94","10","46.5","46.5","491","26.9","20.1","有","","有","","","","光電業","王本然","王本然(總執行長)"
"152",="2838","聯邦銀","市","06/02","14.85","+0.05","+0.34","10","350","329.5","489","30.4","23.9","","","","","","有","銀行業","林鴻聯","許維文"
"153",="6547","高端疫苗","櫃","06/02","219","-1.5","-0.68","10","21.3","22.05","483","9.6","4.1","","","有","","","","生技醫療業","張世忠","陳燦堅"
"154",="2006","東和鋼鐵","市","06/02","66","+1","+1.54","10","73","73.02","482","60","33.9","有","","有","有","","","鋼鐵工業","侯傑騰","黃炳樺"
"155",="9917","中保科","市","06/02","106","-1.5","-1.4","10","45.1","45.12","478","44.6","28.5","","","","","","","其他業","林孝信","小野寺博史"
"156",="5820","日盛金","櫃","06/02","12.3","0","0","10","383","383.5","472","20.3","20.3","","","","","","","金控業","韓蔚廷","韓蔚廷(兼任)"
"157",="2014","中鴻","市","06/02","32.65","-0.5","-1.51","10","144","143.6","469","38.7","30.3","有","","有","","","","鋼鐵工業","劉敏雄","曾貴松"
"158",="3406","玉晶光","市","06/02","415.5","+2.5","+0.61","10","11.3","11.27","468","32.3","16.5","有","","有","","","","光電業","陳天慶","郭英理"
"159",="1907","永豐餘","市","06/02","27.95","-0.25","-0.89","10","166","166","464","72.3","45.3","有","","有","","","","造紙工業","劉慧瑾","駱秉正"
"160",="2889","國票金","市","06/02","15.45","-0.05","-0.32","10","300","299.8","463","20.2","20.2","","","有","","","","金控業","魏啟林","蘇松輝"
"161",="2923","鼎固-KY","市","06/02","26.2","-0.15","-0.57","10","174","174","456","14.5","9.5","","","","","","","建材營造業","張洪本","張能耀"
"162",="1434","福懋","市","06/02","27.05","+0.05","+0.19","10","168","168.5","456","49.1","36.4","","","","","","","紡織纖維","王文淵","李敏章"
"163",="6271","同欣電","市","06/02","255","-3.5","-1.35","10","17.9","17.87","456","47.8","14.6","有","","有","","","","半導體業","陳泰銘","呂紹萍"
"164",="3665","貿聯-KY","市","06/02","301","-14","-4.44","10","15.3","15.06","453","22","11.1","","","有","有","","","其他電子業","梁華哲","鄧劍華"
"165",="2201","裕隆","市","06/02","45.15","-0.65","-1.42","10","100","100","452","68.7","45.9","有","","有","有","","","汽車工業","嚴陳莉蓮","姚振祥"
"166",="2015","豐興","市","06/02","77.5","-0.6","-0.77","10","58.2","58.16","451","53.4","30","","","有","","","","鋼鐵工業","林大鈞","林永源"
"167",="2458","義隆","市","06/02","148","-2.5","-1.66","10","30.4","30.39","450","28.1","20.7","有","","有","","","","半導體業","葉儀皓","葉儀皓"
"168",="6719","力智","市","06/02","571","-13","-2.23","10","7.83","7.83","447","16.4","0.4","","","","","","","半導體業","許先越","黃學偉"
"169",="2368","金像電","市","06/02","81.1","+0.1","+0.12","10","54.6","54.65","443","40.7","24.2","","","有","","","","電子零組件業","楊承澤","楊承澤"
"170",="1717","長興","市","06/02","35.3","+0.1","+0.28","10","124","124","438","57.5","28.2","有","","有","有","","","化學工業","高國倫","毛惠寬"
"171","2882B","國泰金乙特","市","06/02","62.4","0","0","","","70","437","","3.8","","","","","","","金控業","",""
"172",="1773","勝一","市","06/02","218","+5.5","+2.59","10","20","20","436","43.4","13.3","","","有","","","","化學工業","孫靜源","孫靜源"
"173",="1227","佳格","市","06/02","47.55","-0.45","-0.94","10","91.5","91.51","435","36","28.2","","","","","","","食品工業","曹德風","曹博睿"
"174",="3653","健策","市","06/02","354","+1.5","+0.43","10","12.2","12.23","433","35.2","12.5","有","","有","","","","電子零組件業","趙宗信","林錦隆"
"175",="3714","富采","市","06/02","62.3","-0.6","-0.95","10","68.5","68.48","427","1.4","1.4","有","有","有","","","","光電業","李秉傑","李秉傑"
"176",="3707","漢磊","櫃","06/02","127.5","+1.5","+1.19","10","33.1","33.31","425","7.7","7.7","","","有","有","","","半導體業","徐建華","劉燦文"
"177",="2059","川湖","市","06/02","445.5","-2.5","-0.56","10","9.53","9.53","425","35.7","17.1","有","","","","","","電子零組件業","林聰吉","林淑珍"
"178",="5903","全家","櫃","06/02","189.5","-1","-0.52","10","22.3","22.32","423","33.8","20.3","","","","","","","貿易百貨業","葉榮廷","薛東都"
"179",="1314","中石化","市","06/02","11.1","0","0","10","378","378.5","420","52.9","30.9","有","","有","","","","塑膠工業","陳瑞隆","余建松"
"180",="1210","大成","市","06/02","48.6","-0.5","-1.02","10","85.2","85.22","414","61.4","44","有","","有","","","","食品工業","韓家宇","莊坤炎"
