"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"1",="2330","台積電","市","06/02","540","-9","-1.64","10","2,593","2,593","140,024","35.3","27.7","有","有","有","有","","","半導體業","劉德音","總裁: 魏哲家"
"2",="2317","鴻海","市","06/02","114","-0.5","-0.44","10","1,386","1,386","15,804","48.3","31","有","有","有","有","","","其他電子業","劉揚偉","劉揚偉"
"3",="2454","聯發科","市","06/02","898","-7","-0.77","10","160","159.9","14,360","25","20.9","有","有","有","","","","半導體業","蔡明介","陳冠州"
"4",="2412","中華電","市","06/02","125","0","0","10","776","775.7","9,697","26","21.6","有","有","有","","","","通信網路業","謝繼茂","郭水義"
"5",="6505","台塑化","市","06/02","95.8","-0.2","-0.21","10","953","952.6","9,126","30.2","18.4","","","","","","","油電燃氣業","陳?郎","曹明"
"6",="2603","長榮","市","06/02","144.5","0","0","10","529","529.1","7,646","53.7","34.7","有","有","有","有","","","航運業","張衍義","謝惠全"
"7",="2881","富邦金","市","06/02","63.7","+0.1","+0.16","10","1,340","1,180","7,520","20.5","20.5","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"8",="2882","國泰金","市","06/02","54.5","-0.2","-0.37","10","1,470","1,317","7,177","20.4","20.4","有","有","有","","","有","金控業","蔡宏圖","李長庚"
"9",="1301","台塑","市","06/02","107","+0.5","+0.47","10","637","636.6","6,811","67.6","57.9","有","有","有","","","","塑膠工業","林健男","林健男"
"10",="1303","南亞","市","06/02","84.5","-0.1","-0.12","10","793","793.1","6,702","63.8","54.6","有","有","有","","","","塑膠工業","吳嘉昭","鄒明仁"
"11",="2303","聯電","市","06/02","50.7","-0.5","-0.98","10","1,248","1,248","6,328","42","36.9","有","有","有","有","","","半導體業","洪嘉聰","簡山傑、王石"
"12",="2308","台達電","市","06/02","236.5","-5","-2.07","10","260","259.8","6,143","46.8","33.5","有","","有","有","","","電子零組件業","海英俊","張訓海"
"13",="2002","中鋼","市","06/02","33.75","-0.4","-1.17","10","1,577","1,573","5,311","50.5","47.4","有","有","有","有","","有","鋼鐵工業","翁朝棟","-"
"14",="2891","中信金","市","06/02","26.6","+0.05","+0.19","10","2,000","1,950","5,186","20.1","20.1","有","有","有","有","","有","金控業","顏文隆","吳一揆"
"15",="2886","兆豐金","市","06/02","37.9","-0.3","-0.79","10","1,360","1,360","5,154","20.3","20.3","有","有","有","有","","","金控業","張兆順","胡光華"
"16",="1326","台化","市","06/02","81.7","0","0","10","586","586.1","4,789","57.3","37.5","有","有","有","有","","","塑膠工業","洪福源","呂文進"
"17",="3711","日月光投控","市","06/02","104","+1","+0.97","10","436","436","4,534","4.1","4.1","有","有","有","有","","","半導體業","張虔生","張洪本"
"18",="2609","陽明","市","06/02","126.5","+0.5","+0.4","10","349","349.2","4,418","49.4","30.1","有","","有","有","","","航運業","鄭貞茂","杜書勤"
"19",="2884","玉山金","市","06/02","29.55","-0.25","-0.84","10","1,335","1,335","3,946","20.4","20.4","有","有","有","有","","","金控業","黃永仁","陳美滿"
"20",="2615","萬海","市","06/02","158.5","-1","-0.63","10","244","244","3,868","57.3","26.1","有","","有","有","","","航運業","久福花園股份有限公司","謝福隆"
"21",="3045","台灣大","市","06/02","107.5","+0.5","+0.47","10","352","351.9","3,783","25.3","21.7","有","","","有","","","通信網路業","蔡明忠","林之晨"
"22",="5880","合庫金","市","06/02","27.35","-0.3","-1.08","10","1,360","1,360","3,720","10.5","10.5","有","有","有","","","","金控業","雷仲達","陳美足"
"23",="1216","統一","市","06/02","65.1","-0.5","-0.76","10","568","568.2","3,699","54.8","34.4","有","有","有","有","","","食品工業","羅智先","黃釗凱、李清田"
"24",="2892","第一金","市","06/02","26.4","-0.1","-0.38","10","1,296","1,296","3,423","19.4","19.4","有","有","有","有","","","金控業","邱月琴","陳芬蘭"
"25",="2207","和泰車","市","06/02","616","-4","-0.65","10","54.6","54.62","3,364","67.1","25.3","","","","","","","汽車工業","黃南光","蘇純興"
"26",="5871","中租-KY","市","06/02","222.5","0","0","10","160","145","3,227","12.4","10.5","有","","","","","有","其他業","陳鳳龍","陳鳳龍"
"27",="2880","華南金","市","06/02","23.45","0","0","10","1,319","1,319","3,094","20.5","20.5","有","有","有","有","","","金控業","張雲鵬","羅寶珠"
"28",="2382","廣達","市","06/02","79.1","-0.8","-1","10","386","386.3","3,055","34.1","23.4","有","有","","","","","電腦及週邊設備業","林百里","梁次震"
"29",="3037","欣興","市","06/02","203.5","-2","-0.97","10","148","147.5","3,002","32.4","23.5","有","","有","","","","電子零組件業","曾子章","李嘉彬、郭政輝"
"30",="2885","元大金","市","06/02","23.5","-0.2","-0.84","10","1,214","1,214","2,852","20.3","20.3","有","有","有","有","","","金控業","申鼎籛","翁健"
"31",="6415","矽力-KY","市","06/02","2940","+5","+0.17","10","9.47","9.47","2,785","14.3","8.5","","","有","","","","半導體業","陳偉","游步東及Michael Grimm"
"32",="6488","環球晶","櫃","06/02","626","+4","+0.64","10","43.7","43.72","2,737","10.6","6.7","有","","有","","","","半導體業","徐秀蘭","Mark England"
"33",="2912","統一超","市","06/02","263","-3.5","-1.31","10","104","104","2,734","35","24.8","","","","","","","貿易百貨業","羅智先","黃瑞典"
"34",="2883","開發金","市","06/02","15.8","-0.15","-0.94","10","1,909","1,719","2,716","20.4","20.4","有","","有","有","","有","金控業","張家祝","Stefano Paolo Bertamini"
"35",="2395","研華","市","06/02","348.5","-9.5","-2.65","10","77.4","77.58","2,704","40.7","22.5","","","","","","","電腦及週邊設備業","劉克振","陳清熙、蔡淑妍、張家豪"
"36",="4904","遠傳","市","06/02","81","-0.5","-0.61","10","326","325.8","2,639","25.2","20.5","有","","","有","","","通信網路業","徐旭東","井琪"
"37",="1101","台泥","市","06/02","41.7","-0.4","-0.95","10","633","612.5","2,554","71.4","60.3","有","有","有","有","","有","水泥工業","張安平","李鐘培"
"38",="2357","華碩","市","06/02","342.5","-0.5","-0.15","10","74.3","74.28","2,544","32.2","25.6","有","有","有","有","","","電腦及週邊設備業","施崇棠","許先越/胡書賓"
"39",="3034","聯詠","市","06/02","401","-9","-2.2","10","60.9","60.85","2,440","25","21.1","有","","有","","","","半導體業","何泰舜","王守仁"
"40",="8046","南電","市","06/02","372","+1","+0.27","10","64.6","64.62","2,404","24.6","16.2","有","","有","","","","電子零組件業","吳嘉昭","湯安得"
"41",="8069","元太","櫃","06/02","209","-0.5","-0.24","10","114","114","2,383","30","18.2","有","","有","","有","","光電業","李政昊","甘豐源"
"42",="5876","上海商銀","市","06/02","51.9","+0.2","+0.39","10","448","448.2","2,326","67.7","3.6","","","有","有","","","銀行業","李慶言","林志宏"
"43",="2379","瑞昱","市","06/02","441.5","-4.5","-1.01","10","51.3","51.29","2,264","34.6","23.6","有","","有","","","","半導體業","邱順建","顏光裕"
"44",="0050","元大台灣50","市","06/02","127.8","-1.35","-1.05","","","177","2,263","","18.9","有","有","有","","","","N/A","",""
"45",="3008","大立光","市","06/02","1670","+15","+0.91","10","13.3","13.35","2,229","35.1","20.2","有","有","有","","","","光電業","林恩舟","林恩平"
"46",="2327","國巨","市","06/02","407","+2","+0.49","10","54.4","54.41","2,214","34.7","28.6","有","","有","有","","","電子零組件業","陳泰銘","王淡如"
"47",="2408","南亞科","市","06/02","66.8","0","0","10","310","309.7","2,069","27.3","21.8","有","","有","","","","半導體業","吳嘉昭","李培瑛"
"48",="6770","力積電","市","06/02","57.2","-0.6","-1.04","10","359","359.3","2,055","14.1","0.5","","","有","","","","半導體業","黃崇仁","謝再居"
"49",="2890","永豐金","市","06/02","17.7","-0.05","-0.28","10","1,128","1,128","1,997","20.1","20.1","有","有","有","有","","有","金控業","陳思寬","朱士廷"
"50",="2887","台新金","市","06/02","17.5","-0.05","-0.28","10","1,221","1,141","1,997","20.3","20.3","有","有","有","有","","有","金控業","吳東亮","林維俊"
"51",="1590","亞德客-KY","市","06/02","952","-19","-1.96","10","20","20","1,904","12.7","11.5","有","","有","","","","電機機械","王世忠","王世忠"
