"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"510",="2329","華泰","市","06/02","21.1","+0.05","+0.24","10","82.6","55.54","117","51","28.1","","","有","","有","有","半導體業","董悅明","涂家榮"
"511",="2704","國賓","市","06/02","31.75","+0.1","+0.32","10","36.7","36.69","116","59.5","39.6","","","","","","","觀光事業","許育瑞","謝漢章"
"512",="1726","永記","市","06/02","71.7","0","0","10","16.2","16.2","116","65","23.9","","","","","","","化學工業","張德仁","陳弘偉"
"513",="6790","永豐實","市","06/02","43.3","+0.05","+0.12","10","26.7","26.71","116","35.6","0.7","","","","","","","造紙工業","何奕達","李宗純"
"514",="3033","威健","市","06/02","31.45","+0.3","+0.96","10","42.1","36.78","116","45.4","21.6","","","有","","","","電子通路業","胡秋江","胡秋江"
"515",="2035","唐榮","櫃","06/02","33","-0.2","-0.6","10","35","35","116","67.1","15.9","","","","","","","鋼鐵工業","吳豐盛","蔡明洲"
"516",="6472","保瑞","櫃","06/02","168.5","-1","-0.59","10","6.85","6.85","115","15","5.1","","","","","","","生技醫療業","盛保熙","盛保熙"
"517",="2331","精英","市","06/02","20.65","+0.2","+0.98","10","55.7","55.74","115","35.1","27.7","有","","有","","","","電腦及週邊設備業","鍾依文","王金來"
"518",="8215","明基材","市","06/02","35.8","-0.2","-0.56","10","32.1","32.07","115","23.9","11.6","","","有","","","","光電業","陳建志","劉家瑞"
"519",="1110","東泥","市","06/02","20","-0.25","-1.23","10","57.2","57.2","114","65.4","27.6","","","","","","","水泥工業","陳敏斷","陳冠華"
"520",="6464","台數科","市","06/02","87.7","-0.9","-1.02","10","13","13.03","114","15.8","6.5","","","","有","","","其他業","廖紫岑","廖紫岑"
"521",="3691","碩禾","櫃","06/02","150","-1.5","-0.99","10","7.59","7.59","114","18.9","11.5","有","","有","有","有","","光電業","陳繼明","黃文瑞"
